2025/06/09 07:55:21 [error] 32#32: *403 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 192.168.65.1, server: , request: "GET /crm/lead/kanban?pipeline=b5151a04-9810-4635-a9ba-825ce59ccf37 HTTP/1.1", upstream: "fastcgi://172.25.0.3:9000", host: "localhost:8085", referrer: "http://localhost:8085/crm/lead/create?pipeline_id="
2025/06/11 10:52:49 [error] 31#31: *47 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 192.168.65.1, server: , request: "POST /install/api/run-migration HTTP/1.1", upstream: "fastcgi://172.27.0.2:9000", host: "localhost:8080", referrer: "http://localhost:8080/install"
2025/06/14 11:45:19 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:14
2025/06/14 12:21:18 [error] 35#35: *35 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 192.168.65.1, server: , request: "POST /install/api/run-migration HTTP/1.1", upstream: "fastcgi://172.27.0.2:9000", host: "localhost:8080", referrer: "http://localhost:8080/install"
2025/06/14 13:19:32 [error] 31#31: *68 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 192.168.65.1, server: , request: "POST /install/api/run-migration HTTP/1.1", upstream: "fastcgi://172.27.0.2:9000", host: "localhost:8080", referrer: "http://localhost:8080/install"
2025/06/15 03:38:19 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:38:19 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:38:19 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:38:20 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:38:21 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:38:23 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:38:26 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:38:33 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:38:46 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:39:04 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:39:04 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:39:04 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:39:05 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:39:06 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:39:07 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:39:11 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:39:18 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:39:31 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:39:57 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:40:48 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:41:48 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:42:48 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:43:49 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:44:49 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:45:49 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:46:49 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:47:49 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:48:50 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:49:50 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
2025/06/15 03:50:50 [crit] 1#1: pread() "/etc/nginx/conf.d/default.conf" failed (35: Resource deadlock would occur)
